"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J14","JCPM5086VE0Z","1900mil","2565mil","2400mil","2565mil","2400mil","2565mil","B","180.00","Phoenix Contact 1755778"
"DS49","LED_T1-3/4_Flush","2040mil","-910mil","2040mil","-860mil","2040mil","-860mil","B","270.00","OVLGS0C8B9"
"DS50","LED_T1-3/4_Flush","2040mil","-1170mil","2040mil","-1120mil","2040mil","-1120mil","B","270.00","OVLFG3C7"
"U12","SOIC_8","420mil","1810mil","420mil","1810mil","314.685mil","1885mil","T","270.00","MOCD207M"
"R21","R0805","2500mil","-820mil","2500mil","-820mil","2537mil","-820mil","T","180.00","100K"
"D1","DIODE_SMC","-2500mil","710mil","-2500mil","710mil","-2630.118mil","710mil","T","0.00","DIODE ULTRA FAST 3A 600V SMC"
"U3","SOIC_8","1314.999mil","2325mil","1315mil","2325mil","1420.314mil","2250mil","T","90.00","SN65HVD230DR"
"C8","C0805","1540mil","2330mil","1540mil","2330mil","1540mil","2367mil","T","270.00",".1uF"
"R27","R0805","1090mil","1350mil","1090mil","1350mil","1127mil","1350mil","T","180.00","100K"
"R26","R0805","1090mil","1450mil","1090mil","1450mil","1127mil","1450mil","T","180.00","100K"
"R23","R0805","1090mil","1550mil","1090mil","1550mil","1127mil","1550mil","T","180.00","100K"
"R19","R0805","1090mil","1650mil","1090mil","1650mil","1127mil","1650mil","T","180.00","100K"
"JP4","0805","1270mil","1350mil","1270mil","1350mil","1236.535mil","1350mil","T","360.00","0 Ohm Config"
"JP3","R0805","1270mil","1450mil","1270mil","1450mil","1233mil","1450mil","T","360.00","0 Ohm Config"
"C1","C0805","1590mil","1950mil","1590mil","1950mil","1590mil","1913mil","T","90.00",".1uF"
"R40","R0805","1970mil","730mil","1970mil","730mil","2007mil","730mil","T","180.00","1.0k 1%"
"U4","so16w","2430mil","-450mil","2430mil","-450mil","2610.118mil","-625mil","T","90.00","M25P64-VMF6G"
"U8","so16w","2430mil","-1880mil","2430mil","-1880mil","2610.118mil","-2055mil","T","90.00","M25P64-VMF6G"
"U9","so16w","2430mil","-1190mil","2430mil","-1190mil","2610.118mil","-1365mil","T","90.00","M25P64-VMF6G"
"U7","D-PAK_/_TO-252AA","-670mil","2435.001mil","-670mil","2435mil","-759.96mil","2300.158mil","T","360.00","LP2950CDT-3.3"
"U1","so16w","2430mil","620mil","2430mil","620mil","2610.118mil","445mil","T","90.00","M25P64-VMF6G"
"C21","C4X5.8","-420mil","2575mil","-420mil","2575mil","-420mil","2505mil","T","180.00","10uF"
"R28","R0805","1980.001mil","360mil","1980mil","360mil","2017.001mil","360mil","T","180.00","1.0k 1%"
"R25","R0805","-670mil","2160mil","-670mil","2160mil","-670mil","2197mil","T","270.00","2.49k 1%"
"R24","R0805","-820mil","2120mil","-820mil","2120mil","-783mil","2120mil","T","180.00","7.50k 1%"
"R14","R0805","2500mil","-920mil","2500mil","-920mil","2537mil","-920mil","T","180.00","100K"
"R10","R0805","2500mil","-1620mil","2500mil","-1620mil","2537mil","-1620mil","T","180.00","100K"
"R6","R0805","2537mil","-180mil","2537mil","-180mil","2574mil","-180mil","T","180.00","100K"
"R3","R0805","2510mil","890mil","2510mil","890mil","2547mil","890mil","T","180.00","100K"
"R2","R0805","2580mil","-1470mil","2580mil","-1470mil","2543mil","-1470mil","T","360.00","100K"
"R1","R0805","2310mil","890mil","2310mil","890mil","2347mil","890mil","T","180.00","100K"
"C37","C0805","-560mil","2160mil","-560mil","2160mil","-560mil","2123mil","T","90.00",".1uF"
"C33","C0805","2410mil","-1470mil","2410mil","-1470mil","2447mil","-1470mil","T","180.00",".1uF"
"C23","C0805","2500mil","-2160mil","2500mil","-2160mil","2537mil","-2160mil","T","180.00",".1uF"
"C13","C0805","-860mil","2595mil","-860mil","2595mil","-860mil","2558mil","T","90.00",".1uF"
"C11","C0805","2500mil","-720mil","2500mil","-720mil","2537mil","-720mil","T","180.00",".1uF"
"C4","C0805","2510mil","340mil","2510mil","340mil","2547mil","340mil","T","180.00",".1uF"
"C42","C0805","2240mil","-2600mil","2240mil","-2600mil","2277mil","-2600mil","T","180.00",".1uF"
"R112","R0805","2420mil","-2600mil","2420mil","-2600mil","2457mil","-2600mil","T","180.00","10.0k"
"D3","SOT23","2030mil","-2570mil","2030mil","-2570mil","2076.26mil","-2607.402mil","T","90.00","BAS16"
"D4","SOT23","2030mil","-2380mil","2030mil","-2380mil","2076.26mil","-2417.402mil","T","90.00","BAS16"
"D5","SOT23","2030mil","-2190mil","2030mil","-2190mil","2076.26mil","-2227.402mil","T","90.00","BAS16"
"R128","R0805","130mil","1840mil","130mil","1840mil","130mil","1803mil","T","90.00","3.16K"
"R129","R0805","710mil","1840mil","710mil","1840mil","710mil","1803mil","T","90.00","20.0k"
"Y1","XTSL\CSM-7","2180mil","2380mil","2180mil","2380mil","2367.008mil","2380mil","T","180.00","8.192MHz"
"U2","TQFP-80","2050mil","1900mil","2050mil","1900mil","1862.992mil","1640.158mil","T","90.00","dsPIC30F5013-20I/PT"
"C3","C0805","2530mil","1750mil","2530mil","1750mil","2493mil","1750mil","T","360.00",".1uF"
"C16","C0805","1650mil","2260mil","1650mil","2260mil","1650mil","2297mil","T","270.00","18pF"
"C20","C0805","2590mil","2310mil","2590mil","2310mil","2553mil","2310mil","T","360.00","18pF"
