"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"DS48","L#S/TLMK3210Z","1574mil","-937mil","1574mil","-937mil","1634.793mil","-938.003mil","B","240.00","LM1-PPG1-01-N1"
"DS47","L#S/TLMK3210Z","1761mil","-485mil","1761mil","-485mil","1819.981mil","-470.235mil","B","255.00","LM1-PPG1-01-N1"
"DS44","L#S/TLMK3210Z","888mil","-1624mil","888mil","-1624mil","940.146mil","-1655.265mil","B","210.00","LM1-PPG1-01-N1"
"DS43","L#S/TLMK3210Z","1276mil","-1326mil","1276mil","-1326mil","1334.462mil","-1342.703mil","B","225.00","LM1-PPG1-01-N1"
"DS40","L#S/TLMK3210Z","-50mil","-1875mil","-50mil","-1875mil","-20.472mil","-1928.15mil","B","180.00","LM1-PPG1-01-N1"
"DS39","L#S/TLMK3210Z","435mil","-1811mil","435mil","-1811mil","477.278mil","-1854.696mil","B","195.00","LM1-PPG1-01-N1"
"DS36","L#S/TLMK3210Z","-987mil","-1624mil","-987mil","-1624mil","-988.003mil","-1684.793mil","B","150.00","LM1-PPG1-01-N1"
"DS35","L#S/TLMK3210Z","-535mil","-1811mil","-535mil","-1811mil","-520.235mil","-1869.981mil","B","165.00","LM1-PPG1-01-N1"
"DS32","L#S/TLMK3210Z","-1674mil","-937mil","-1674mil","-937mil","-1705.265mil","-989.146mil","B","120.00","LM1-PPG1-01-N1"
"DS31","L#S/TLMK3210Z","-1376mil","-1326mil","-1376mil","-1326mil","-1392.703mil","-1384.462mil","B","135.00","LM1-PPG1-01-N1"
"DS28","L#S/TLMK3210Z","-1925mil","0mil","-1925mil","0mil","-1978.15mil","-29.528mil","B","90.00","LM1-PPG1-01-N1"
"DS27","L#S/TLMK3210Z","-1861mil","-485mil","-1861mil","-485mil","-1904.696mil","-527.278mil","B","105.00","LM1-PPG1-01-N1"
"DS24","L#S/TLMK3210Z","-1674mil","938mil","-1674mil","938mil","-1734.793mil","939.003mil","B","60.00","LM1-PPG1-01-N1"
"DS23","L#S/TLMK3210Z","-1861mil","485mil","-1861mil","485mil","-1919.981mil","470.235mil","B","75.00","LM1-PPG1-01-N1"
"DS20","L#S/TLMK3210Z","-987mil","1624mil","-987mil","1624mil","-1039.147mil","1655.265mil","B","30.00","LM1-PPG1-01-N1"
"DS19","L#S/TLMK3210Z","-1380mil","1330mil","-1380mil","1330mil","-1438.462mil","1346.703mil","B","45.00","LM1-PPG1-01-N1"
"DS16","L#S/TLMK3210Z","-50mil","1875mil","-50mil","1875mil","-79.528mil","1928.15mil","B","0.00","LM1-PPG1-01-N1"
"DS15","L#S/TLMK3210Z","-535mil","1811mil","-535mil","1811mil","-577.278mil","1854.696mil","B","15.00","LM1-PPG1-01-N1"
"DS12","L#S/TLMK3210Z","888mil","1624mil","888mil","1624mil","889.003mil","1684.793mil","B","330.00","LM1-PPG1-01-N1"
"DS11","L#S/TLMK3210Z","435mil","1811mil","435mil","1811mil","420.235mil","1869.981mil","B","345.00","LM1-PPG1-01-N1"
"DS8","L#S/TLMK3210Z","1574mil","938mil","1574mil","938mil","1605.265mil","990.146mil","B","300.00","LM1-PPG1-01-N1"
"DS7","L#S/TLMK3210Z","1276mil","1326mil","1276mil","1326mil","1292.703mil","1384.462mil","B","315.00","LM1-PPG1-01-N1"
"DS4","L#S/TLMK3210Z","1825mil","0mil","1825mil","0mil","1878.15mil","29.528mil","B","270.00","LM1-PPG1-01-N1"
"DS3","L#S/TLMK3210Z","1761mil","485mil","1761mil","485mil","1804.696mil","527.278mil","B","285.00","LM1-PPG1-01-N1"
"J14","JCPM5086VE0Z","1900mil","2565mil","2400mil","2565mil","2400mil","2565mil","B","180.00","Phoenix Contact 1755778"
"DS46","L#S/TLMK3210Z","1809mil","-245mil","1809mil","-245mil","1865.549mil","-222.662mil","B","262.50","TLMK3210"
"DS45","L#S/TLMK3210Z","1682mil","-718mil","1682mil","-718mil","1742.404mil","-711.059mil","B","247.50","TLMK3210"
"DS42","L#S/TLMK3210Z","1438mil","-1141mil","1438mil","-1141mil","1498.142mil","-1149.93mil","B","232.50","TLMK3210"
"DS41","L#S/TLMK3210Z","1091mil","-1488mil","1091mil","-1488mil","1146.781mil","-1512.191mil","B","217.50","TLMK3210"
"DS38","L#S/TLMK3210Z","668mil","-1732mil","668mil","-1732mil","715.619mil","-1769.804mil","B","202.50","TLMK3210"
