"Bill of Material for NEOS_CAN.PrjPcb"
"On 4/1/2008 at 10:49:33 AM"

"Comment","Pattern","Quantity","Components"

"0.1uF","0603","1","C1","0.1uF"
"0","0805","1","R3","0"
"100","0805","1","R1","100"
"10k","0603","1","R2","10k"
"12.288MHz","HCM49","1","U4","CRYSTAL 12.288 MHZ SMT 18PF"
"18pF","0603","2","C3, C4","CAP CER 18PF 50V 5% C0G 0603"
"1k","0805","5","R5, R7, R8, R12, R13","1k"
"3.9k","0805","1","R4","Generic R"
"300","0805","2","R10, R11","300"
"C","0603","5","C2, C7, C8, C9, C10","Generic C"
"C","0805","4","C6, C11, C12, C13","0.1uF"
"C","1206","1","C5","10uF 1206"
"CONN HEADER VERT 6POS 5.08MM","JCPM5086VE0Z","1","J14","CONN HEADER VERT 6POS 5.08MM"
"CONN RCPT USB TYPE B R/A PCB","1-1470156","1","J2","USB TYPE B R/A PCB"
"dsPIC30F6014A","TQFP-80","1","U2","Microchip dsPIC30F6014 80-TQFP"
"DT13-12PA-R008","DTM13-12PA-R008","1","J1","DTM13-12PA-R008"
"FT245RL","SOP65P780X200-28L","1","U5","USB Interface ICs USB TO PARALLEL FIFO 28 PIN SSOP"
"LED_0805","LED_0805","4","D1, D2, D3, D4","LED ALINGAP RED CLEAR 0805 SMD"
"LM2937","SOT223","1","U1","IC REG LDO 500MA 3.3V SOT-223"
"R","0805","2","R6, R9","Generic R"
"SN65HVD230DR","SOIC 8","1","U3","IC 3.3V CAN TXRX W/STNDBY 8-SOIC"
"TLP172A","PS7241","1","U6","PHOTOCOUPLER PHOTORELAY 4-SOP"
"ZXTN25100BFHTA","SOT95P245X145-3L","2","Q1, Q2","TRANSISTOR NPN 100V 3A SOT-23"
